Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,Sales Person Name,Sales Person Department,Cost Price,Sale Price,Payment Method,Discount Amount,Purchase Date,Ship Date,Finance Amount,RAM,Credit Score,Channel,Priority,Cost of Repairs,Total Sales per Employee,PC Market Price,Storage Capacity
North America,Florida,Miramar,Ricks Computers,8,Acer,Aspire 7,HDD,Rachel Rowe,New Sales,20846,22870,Bank Transfer,100,2023-04-18,,0,4GB,427,Offline,High,0,977,21948,1TB
Africa,Egypt,Ismailia,DEF Machines,3,Toshiba,Libretto,SSD,Mario Daniel,Repairs,10873,14856,Cash,22,2022-09-02,2022-09-25,0,8GB,630,Online,High,3895,672,13090,256GB
Africa,Morocco,Tiznit,GHI Machines,10,Samsung,Notebook 9 Pen,HDD,Gwendolyn Thomas,Repairs,16498,19472,Cash,121,2023-12-02,,0,4GB,729,Offline,High,2656,605,18892,256GB
Africa,South Africa,Limpopo,Greens Laptops and PCs,8,Acer,Swift 3,SSD,Jonathan Huang,Returns,3902,8455,Cash,570,2022-07-31,,0,2GB,595,Offline,High,0,286,6972,500GB
Africa,South Africa,Gauteng,DEF Machines,9,Asus,Chromebook Flip C434,HDD,Erin Williams,Repairs,22959,27408,Finance,663,2023-04-07,2023-04-10,22824,16GB,589,Online,Medium,1452,836,24795,500GB
Africa,Angola,Cuanza Norte,GH PC Shop,8,Samsung,Notebook 9,HDD,Lori Anderson,Repairs,11196,14416,Cash,470,2021-03-30,2021-04-23,0,8GB,646,Online,Medium,3450,273,11216,500GB
Africa,Tanzania,Katavi,ABC Computers,5,Dell,Precision,HDD,Corey Rasmussen,Second-hand Sales,21978,24264,Bank Transfer,936,2023-10-02,,0,8GB,788,Offline,Low,0,504,23624,256GB
Africa,Ethiopia,Afar,Benjis Tech,9,Toshiba,Tecra,HDD,Michael Summers,Returns,13281,15730,Cash,989,2023-04-12,2023-05-07,0,2GB,635,Online,High,0,783,14984,500GB
Africa,Morocco,Rabat,Frankies Hardware and Software,1,Dell,XPS,HDD,Gina Day,Second-hand Sales,14852,17008,Cash,454,2022-09-02,2022-09-03,0,8GB,489,Online,High,0,743,16415,256GB
Africa,Morocco,Settat,A & A PCs,8,Toshiba,Dynabook,HDD,Gina Day,Repairs,7812,11284,Finance,650,2021-10-03,2021-10-18,7161,16GB,478,Online,Medium,2625,578,10264,1TB
Africa,Ethiopia,Amhara,ABC Computers,3,Acer,Aspire 7,SSD,Rachel Guerrero,Second-hand Sales,5808,10083,Finance,924,2022-01-15,,700,4GB,582,Offline,High,0,118,8882,1TB
Africa,Ghana,Ashanti,Ricks Computers,8,Lenovo,ThinkPad X1 Yoga,HDD,Jessica Morgan,Repairs,5940,9031,Bank Transfer,122,2023-02-27,2023-03-13,0,4GB,658,Online,Low,1321,230,8507,500GB
North America,Michigan,Battle Creek,GH PC Shop,4,Toshiba,Portege,SSD,Erika Larsen,Returns,25519,30506,Bank Transfer,766,2023-04-26,2023-05-22,0,2GB,642,Online,Low,0,655,26499,500GB
Africa,Morocco,Tiznit,KyaSand Tech Gadgets,10,MSI,GP65 Leopard,HDD,Gwendolyn Thomas,New Sales,9349,12636,Finance,566,2021-08-19,2021-08-26,22909,8GB,815,Online,Medium,0,671,11407,256GB
North America,North Carolina,Greensboro,Benjis Tech,10,HP,ZBook,HDD,Brittany Franklin,New Sales,16568,20815,Cash,949,2022-03-07,2022-03-27,0,4GB,485,Online,High,0,890,18826,500GB
North America,New York,Newburgh,XYZ Tech,3,Lenovo,ThinkPad X1 Yoga,SSD,Sean Guerrero,Repairs,6696,10590,Bank Transfer,495,2022-01-21,2022-02-02,0,8GB,726,Online,Low,3979,734,7160,1TB
Africa,Ghana,Brong-Ahafo,DEF Machines,4,Asus,TUF Gaming A15,HDD,Kevin Lee,Returns,16920,19349,Cash,176,2021-11-04,2021-11-23,0,8GB,627,Online,High,0,718,19221,500GB
Africa,Botswana,Ghanzi,Jacks Hardware,8,Microsoft,Surface Studio,HDD,Justin Schroeder,Repairs,21301,25025,Finance,692,2022-02-24,,32325,4GB,468,Offline,Low,4411,213,24714,500GB
Africa,Angola,Cabinda,LJ Computers,8,Dell,XPS,HDD,Hector Robertson,Returns,26939,29967,Cash,610,2023-01-23,2023-01-26,0,4GB,626,Online,Low,0,862,29164,256GB
Africa,Egypt,Ismailia,S & A Computer Place,2,MSI,GP76 Leopard,SSD,Mario Daniel,Repairs,28337,33134,Cash,46,2023-12-28,2024-01-09,0,8GB,465,Online,High,2026,164,30332,500GB
Africa,South Africa,Northern Cape,S & A Computer Place,2,Lenovo,ThinkPad X1 Carbon,SSD,Mrs. Barbara Davenport,New Sales,29603,32024,Bank Transfer,64,2021-08-29,2021-09-17,0,4GB,464,Online,Low,0,512,30247,1TB
Africa,Angola,Benguela,KyaSand Tech Gadgets,10,Dell,XPS,SSD,Hector Robertson,Returns,22209,24581,Cash,116,2023-12-04,2023-12-20,0,4GB,627,Online,High,0,242,23679,256GB
North America,New York,Saratoga Springs,ABC Computers,6,Dell,Latitude,SSD,Ashley Miranda,Repairs,10977,13647,Cash,937,2023-07-15,2023-08-07,0,4GB,767,Online,Medium,2391,838,12728,1TB
Africa,Angola,Namibe,DEF Machines,10,Asus,ROG Zephyrus S GX701,HDD,Kimberly Duncan,Repairs,13690,17023,Cash,309,2021-11-16,2021-11-24,0,4GB,580,Online,Low,4870,27,14645,1TB
North America,Georgia,Augusta,ABC Computers,8,Apple,Apple MacBook Air,HDD,Christine Ramirez,Returns,29341,32475,Bank Transfer,581,2022-10-29,2022-11-03,0,8GB,705,Online,Low,0,490,30620,1TB
North America,New York,Valley Stream,ABC Computers,4,Acer,Predator Triton 500,SSD,Gabrielle Patterson,New Sales,6669,8969,Bank Transfer,438,2023-07-07,,0,2GB,466,Offline,High,0,540,8637,500GB
North America,Florida,Clearwater,A & A PCs,9,Toshiba,Qosmio,HDD,Jordan Jensen,Second-hand Sales,18284,20806,Finance,192,2023-09-13,2023-10-05,15163,2GB,535,Online,High,0,690,20077,256GB
North America,Ohio,Cleveland,Jacks Hardware,7,HP,Pavilion,SSD,Eric James,Second-hand Sales,29943,32423,Finance,635,2022-10-01,,46469,4GB,528,Offline,Medium,0,975,30433,256GB
North America,California,Oxnard,ABC Computers,4,MSI,GP76 Leopard,SSD,Alyssa Martinez,Repairs,17226,22153,Bank Transfer,19,2023-05-15,2023-06-12,0,8GB,774,Online,High,4429,905,19337,500GB
North America,New York,Yonkers,Frankies Hardware and Software,1,Asus,ROG Strix Scar III,HDD,Kelsey Olson,Returns,4453,6648,Finance,29,2023-08-13,,1491,16GB,795,Offline,Low,0,668,5903,256GB
Africa,Morocco,Inezgane-Ait Melloul,Greens Laptops and PCs,9,Lenovo,ThinkPad X13 Yoga,HDD,John Whitney,Second-hand Sales,3831,7348,Cash,864,2021-09-17,,0,4GB,726,Offline,Low,0,566,4428,1TB
Africa,Tanzania,Njombe,S & A Computer Place,10,HP,Envy,HDD,Jennifer Morales,Returns,13300,18078,Bank Transfer,783,2021-10-30,,0,4GB,844,Offline,Low,0,16,17966,500GB
Africa,Botswana,North-East,CK Tech Store,5,Microsoft,Surface Book,SSD,Madison Davis,Repairs,15068,17659,Cash,509,2023-03-25,,0,4GB,719,Offline,Low,2427,690,15212,1TB
North America,North Carolina,Mooresville,ABC Computers,5,Asus,VivoBook S14,HDD,Eric Hall,Second-hand Sales,14550,17246,Finance,362,2024-02-29,2024-03-30,1799,2GB,513,Online,Low,0,838,15145,500GB
Africa,Nigeria,Zamfara,S & A Computer Place,5,Dell,Precision,SSD,Timothy Leach,Repairs,26892,30033,Bank Transfer,586,2021-05-26,2021-06-07,0,8GB,507,Online,Low,3074,39,29930,256GB
Africa,South Africa,Western Cape,XYZ Tech,3,MSI,GP76 Leopard,HDD,Jonathan Huang,Second-hand Sales,3432,6145,Cash,364,2022-12-22,2023-01-20,0,2GB,795,Online,High,0,187,4698,500GB
Africa,Egypt,New Valley,Ricks Computers,9,Lenovo,ThinkPad X1 Yoga,HDD,Robert Hudson,Second-hand Sales,11700,14783,Cash,812,2023-11-13,2023-11-28,0,16GB,733,Online,Medium,0,694,13229,500GB
Africa,South Africa,North West,Benjis Tech,6,Toshiba,Satellite,HDD,Patricia Jones,Second-hand Sales,20888,24248,Bank Transfer,986,2022-12-18,2022-12-29,0,16GB,468,Online,Low,0,665,24211,256GB
North America,North Carolina,Asheville,Mini Tech,2,Toshiba,Portege,HDD,Brittany Franklin,Second-hand Sales,9701,14488,Finance,428,2022-07-06,,41595,4GB,407,Offline,Medium,0,244,14374,500GB
Africa,Morocco,Fahs Anjra,Western International PCs,1,Acer,Aspire E 15,SSD,Justin Kemp,New Sales,10507,13456,Bank Transfer,341,2021-09-08,,0,16GB,418,Offline,Low,0,945,12299,500GB
North America,Georgia,Statesboro,S & A Computer Place,4,HP,Elitebook,SSD,Chris Jones,Second-hand Sales,19166,22183,Finance,630,2022-02-12,2022-02-27,18545,16GB,836,Online,High,0,568,21894,256GB
North America,California,Oceanside,GHI Machines,4,Acer,Aspire E 15,SSD,Joy Holt,New Sales,26196,29074,Finance,609,2022-10-13,,45147,2GB,402,Offline,Medium,0,506,28785,256GB
North America,Texas,Abilene,XYZ Tech,6,Lenovo,IdeaCentre AIO 3,SSD,Michael Koch,New Sales,9468,11873,Finance,579,2023-02-19,2023-03-17,23038,8GB,752,Online,Medium,0,291,10860,1TB
Africa,Angola,Cuando Cubango,S & A Computer Place,10,Apple,Apple Power Mac G5,HDD,Brian Clarke,New Sales,20813,25631,Bank Transfer,696,2022-02-23,2022-03-10,0,4GB,712,Online,High,0,981,25201,500GB
North America,Illinois,Elgin,Greens Laptops and PCs,6,HP,Spectre,HDD,Kathleen Robinson,New Sales,15178,19776,Bank Transfer,532,2021-10-31,2021-11-21,0,2GB,802,Online,Low,0,969,16143,1TB
North America,Illinois,Rockford,ABC Computers,3,Asus,VivoBook S14,SSD,Jerry Cox,Repairs,5763,10589,Bank Transfer,509,2024-02-21,2024-03-01,0,8GB,613,Online,Medium,4918,86,5872,500GB
Africa,Ethiopia,Benishangul-Gumuz,ABC Computers,3,MSI,Modern 15,SSD,Christopher Nicholson,New Sales,25129,27479,Finance,840,2021-05-23,,31024,16GB,790,Offline,Medium,0,887,26469,256GB
North America,North Carolina,Kannapolis,GHI Machines,9,Microsoft,Surface Pro,HDD,Brittany Franklin,Second-hand Sales,13494,18008,Bank Transfer,64,2023-05-07,,0,2GB,526,Offline,High,0,269,14102,500GB
Africa,Botswana,Central,Greens Laptops and PCs,3,Samsung,Notebook Odyssey,HDD,Lisa Williams,Second-hand Sales,10584,14568,Finance,846,2023-10-21,2023-11-08,46729,2GB,724,Online,Medium,0,932,12789,1TB
Africa,Botswana,Kweneng,KyaSand Tech Gadgets,9,MSI,P65 Creator,HDD,Justin Schroeder,Repairs,9785,13663,Cash,188,2021-11-04,,0,2GB,618,Offline,Medium,3592,932,11611,1TB
North America,Michigan,Dearborn,Benjis Tech,5,Apple,Apple Power Mac G5,SSD,Casey Dunn,Second-hand Sales,29345,33486,Finance,830,2021-10-08,,4965,2GB,617,Offline,Medium,0,869,30318,256GB
North America,New York,Schenectady,Ricks Computers,4,Asus,ProArt StudioBook Pro X,SSD,Janet Hall,Returns,11989,14426,Bank Transfer,219,2023-08-24,2023-09-10,0,16GB,665,Online,Low,0,730,12333,256GB
Africa,Morocco,Figuig,XYZ Tech,1,Apple,Apple MacBook Pro,SSD,Gina Day,Repairs,23045,27772,Bank Transfer,168,2021-04-19,2021-05-04,0,2GB,542,Online,Medium,1780,230,25162,1TB
North America,Texas,Plano,KyaSand Tech Gadgets,7,Toshiba,Portege,HDD,Laurie Wright,Repairs,10102,13105,Cash,713,2022-11-20,,0,2GB,683,Offline,Low,3070,177,10835,256GB
North America,Pennsylvania,Oil City,Jacks Hardware,2,Toshiba,Qosmio,HDD,Michael Chan,Second-hand Sales,24954,27412,Bank Transfer,545,2021-05-15,,0,4GB,668,Offline,Medium,0,380,25580,256GB
North America,Michigan,Westland,DEF Machines,10,Apple,Apple iMac,HDD,Casey Dunn,Second-hand Sales,15807,19324,Cash,433,2024-01-22,2024-02-14,0,4GB,673,Online,Medium,0,730,16340,1TB
Africa,Nigeria,Ondo,Western International PCs,3,Acer,Spin 5,SSD,Mary Shaw,Second-hand Sales,6761,11039,Cash,295,2021-06-15,2021-07-06,0,4GB,751,Online,High,0,463,7352,1TB
Africa,Egypt,Faiyum,KyaSand Tech Gadgets,10,Asus,VivoBook Flip 14,HDD,Michael Gibson,Returns,9186,11344,Finance,484,2023-03-23,,39697,16GB,737,Offline,Medium,0,922,10370,1TB
North America,Florida,Port St. Lucie,Mini Tech,6,Toshiba,Dynabook,SSD,Deborah Anderson MD,New Sales,3004,5073,Bank Transfer,629,2022-09-11,2022-09-30,0,16GB,468,Online,Low,0,465,4228,1TB
Africa,Morocco,Sefrou,ABC Computers,9,Lenovo,IdeaPad 5,HDD,Adam Schwartz,Second-hand Sales,13118,17514,Bank Transfer,308,2021-09-23,2021-10-05,0,16GB,479,Online,Medium,0,71,17090,1TB
Africa,Egypt,Kafr El Sheikh,GH PC Shop,10,Microsoft,Surface Hub,SSD,Diana Owens,Repairs,22580,26975,Finance,777,2022-01-09,,10213,4GB,634,Offline,High,1230,862,23850,1TB
North America,North Carolina,Havelock,Mini Tech,10,Dell,Precision,SSD,Eric Hall,Returns,2739,4814,Finance,832,2021-09-22,,31222,16GB,757,Offline,Low,0,781,3440,500GB
North America,Florida,Palm Bay,ABC Computers,4,HP,ZBook,SSD,Mark Evans,Returns,26159,30528,Cash,537,2022-12-27,,0,16GB,500,Offline,Low,0,446,28560,256GB
Africa,Ethiopia,Tigray,S & A Computer Place,3,Lenovo,ThinkPad X1 Yoga,SSD,Christopher Nicholson,Returns,29604,33433,Bank Transfer,507,2022-05-11,2022-05-24,0,4GB,564,Online,High,0,643,32922,500GB
North America,Illinois,Palatine,GH PC Shop,5,Acer,Chromebook Spin 311,HDD,Glenda Cohen,Returns,27853,32636,Cash,115,2023-05-15,,0,2GB,616,Offline,High,0,48,28092,500GB
North America,Texas,Lubbock,Benjis Tech,4,Samsung,Chromebook 4,HDD,Diana Rodriguez,New Sales,29211,31948,Bank Transfer,849,2021-09-20,,0,16GB,529,Offline,Low,0,652,29612,500GB
Africa,Morocco,Moulay Yacoub,ABC Computers,6,Acer,ConceptD 5,HDD,Brian Johnson,Second-hand Sales,12027,15261,Cash,407,2023-09-29,2023-10-03,0,8GB,689,Online,Low,0,507,13052,500GB
Africa,Ghana,Greater Accra,KyaSand Tech Gadgets,6,Asus,Chromebook Flip C434,HDD,Troy Howell,Returns,21203,25624,Cash,831,2023-01-20,2023-01-24,0,8GB,520,Online,Medium,0,902,25204,256GB
Africa,Tanzania,Mara,Benjis Tech,2,Toshiba,Qosmio,SSD,Mary Fisher,Second-hand Sales,24456,28855,Cash,830,2024-02-27,2024-02-29,0,2GB,537,Online,Low,0,785,26746,256GB
Africa,Egypt,Aswan,Jacks Hardware,9,Samsung,Notebook Flash,HDD,Evan Scott,New Sales,6228,10349,Bank Transfer,965,2021-09-03,2021-09-24,0,8GB,470,Online,Low,0,879,7284,500GB
Africa,Botswana,Kgatleng,Ricks Computers,3,Lenovo,Legion 5,HDD,Melissa Dunn,Second-hand Sales,8723,11361,Bank Transfer,342,2023-08-19,2023-09-18,0,8GB,619,Online,High,0,706,9810,500GB
Africa,Ghana,Ashanti,Ricks Computers,1,Samsung,Notebook 9 Pen,HDD,Jessica Morgan,New Sales,23975,26370,Finance,963,2021-09-20,,16284,2GB,513,Offline,Low,0,766,25773,500GB
Africa,South Africa,KwaZulu-Natal,Mini Tech,8,Apple,Apple Macintosh SE,SSD,Pamela Zavala,Repairs,5279,7744,Finance,920,2022-10-19,2022-11-09,27798,8GB,727,Online,Low,4850,955,7635,500GB
North America,Illinois,Elgin,Benjis Tech,6,Toshiba,Dynabook,SSD,Curtis Tucker,Repairs,14689,17737,Finance,459,2021-08-15,2021-08-29,32115,16GB,565,Online,High,4033,743,16125,500GB
Africa,South Africa,Eastern Cape,ABC Computers,4,MSI,GS75 Stealth,SSD,Erin Williams,Repairs,12696,15522,Finance,681,2022-11-09,2022-11-20,45967,2GB,434,Online,High,2871,504,13982,1TB
Africa,Botswana,North-East,Mini Tech,5,MSI,GL65 Leopard,HDD,Melissa Dunn,Returns,29956,32840,Bank Transfer,205,2023-03-06,2023-03-18,0,16GB,725,Online,High,0,517,32480,1TB
North America,Pennsylvania,Reading,A & A PCs,5,Lenovo,IdeaPad Flex 5,HDD,Thomas Perry,Repairs,9636,14090,Finance,20,2024-01-04,,31580,2GB,801,Offline,Low,2334,940,11479,500GB
North America,North Carolina,Charlotte,XYZ Tech,2,Asus,VivoBook S14,HDD,Tamara Clark,Second-hand Sales,19452,24025,Finance,470,2023-06-01,2023-06-26,10547,4GB,806,Online,Low,0,228,22737,500GB
Africa,Nigeria,Rivers,Benjis Tech,10,Samsung,Notebook 7 Spin,HDD,Mary Shaw,Returns,6035,9680,Finance,485,2023-05-21,2023-06-20,22111,16GB,600,Online,Medium,0,580,9648,500GB
Africa,South Africa,Mpumalanga,DEF Machines,7,MSI,GP65 Leopard,SSD,Mark Landry,Repairs,27099,29638,Cash,264,2021-12-09,2021-12-16,0,16GB,484,Online,Low,3033,787,28476,1TB
North America,Georgia,Douglasville,S & A Computer Place,9,Dell,G Series,HDD,Joe Thomas,New Sales,12217,16595,Cash,572,2021-10-14,2021-11-10,0,2GB,697,Online,High,0,656,15508,256GB
North America,Texas,Killeen,Benjis Tech,8,HP,Elitebook,HDD,Amanda Brown,Returns,14233,18756,Finance,993,2023-01-27,,31229,2GB,677,Offline,High,0,106,17862,500GB
Africa,Tanzania,Katavi,ABC Computers,6,HP,Omen,SSD,Jennifer Morales,New Sales,29573,33668,Finance,943,2022-08-01,,3039,2GB,764,Offline,High,0,180,31829,500GB
Africa,Kenya,Nakuru,Frankies Hardware and Software,5,MSI,GF63 Thin,SSD,Cassandra Mcmillan,New Sales,21729,24852,Bank Transfer,914,2021-11-27,,0,2GB,729,Offline,Low,0,627,23864,256GB
Africa,Angola,Moxico,Benjis Tech,6,Dell,XPS,SSD,Cassidy Mason,Second-hand Sales,19920,23750,Finance,312,2023-01-23,,15779,16GB,422,Offline,Medium,0,659,21256,500GB
North America,Michigan,Jackson,GH PC Shop,8,Toshiba,Libretto,HDD,Veronica Larson,New Sales,11620,14788,Cash,768,2022-01-18,,0,8GB,835,Offline,High,0,452,11675,1TB
Africa,Nigeria,Ogun,Greens Laptops and PCs,2,Samsung,Notebook 7 Spin,SSD,Lisa Morgan,Second-hand Sales,6149,10322,Bank Transfer,427,2023-08-22,,0,4GB,646,Offline,High,0,682,8790,256GB
North America,Illinois,Champaign,Ricks Computers,10,Microsoft,Surface Go,HDD,Katie Fernandez,Returns,20195,22445,Cash,167,2023-09-26,2023-10-25,0,2GB,486,Online,High,0,22,21163,1TB
North America,Ohio,Youngstown,ABC Computers,2,Samsung,Galaxy Book S,HDD,Molly Johns,Repairs,22838,25488,Bank Transfer,169,2021-06-03,2021-06-14,0,2GB,457,Online,High,1168,907,24747,256GB
North America,Michigan,Bay City,DEF Machines,9,Apple,Apple Lisa,SSD,Elizabeth Martinez,Second-hand Sales,10047,13627,Finance,125,2021-12-04,2021-12-25,38325,16GB,722,Online,Medium,0,880,11268,256GB
Africa,Ghana,Volta,KyaSand Tech Gadgets,1,Lenovo,ThinkPad T14,HDD,Amanda Hurley,New Sales,20937,25520,Cash,715,2022-05-23,2022-06-04,0,4GB,434,Online,Low,0,362,21437,1TB
North America,Illinois,Decatur,GH PC Shop,2,Lenovo,IdeaPad 5,SSD,Ashley Jones,Returns,2696,6999,Cash,12,2023-09-16,2023-10-04,0,16GB,466,Online,Low,0,941,3045,256GB
Africa,Kenya,Busia,Frankies Hardware and Software,9,HP,Elitebook,HDD,David Ellis,New Sales,13648,16236,Cash,182,2022-09-06,2022-10-01,0,8GB,828,Online,Medium,0,18,14813,500GB
Africa,Egypt,Qena,ABC Computers,1,Apple,Apple MacBook Pro,SSD,Christina Garza,New Sales,22933,27726,Bank Transfer,349,2021-12-20,2021-12-22,0,8GB,651,Online,Medium,0,417,23919,256GB
North America,New York,Valley Stream,Ricks Computers,3,Microsoft,Surface Neo,HDD,Janet Hall,Second-hand Sales,27947,30263,Cash,906,2022-06-02,,0,2GB,778,Offline,Medium,0,340,29144,256GB
North America,Ohio,Canton,GHI Machines,7,HP,ZBook,HDD,Molly Johns,Repairs,2838,5583,Cash,843,2023-12-30,2024-01-04,0,8GB,625,Online,Medium,3360,305,3827,500GB
Africa,Angola,Cunene,Frankies Hardware and Software,8,Microsoft,Surface Go,HDD,Ruben Snow,Second-hand Sales,10913,15298,Finance,891,2023-11-01,2023-11-27,47419,4GB,454,Online,Medium,0,81,14458,256GB
Africa,Angola,Cuanza Sul,CK Tech Store,5,Toshiba,Qosmio,SSD,Kenneth Willis,Returns,29184,32135,Finance,267,2021-09-23,,12251,8GB,517,Offline,Low,0,277,30762,1TB
North America,Ohio,Cincinnati,Greens Laptops and PCs,3,Microsoft,Surface Laptop,SSD,Roger Cole,Repairs,14261,17112,Cash,952,2021-06-14,,0,4GB,461,Offline,Low,1111,170,16683,500GB
North America,Georgia,Dalton,Mini Tech,8,Apple,Apple MacBook Pro,HDD,Joe Thomas,Repairs,27219,30103,Cash,599,2022-08-02,,0,8GB,499,Offline,Low,1399,907,28060,1TB
North America,Pennsylvania,Lancaster,ABC Computers,7,MSI,GL65 Leopard,SSD,Michael Smith,Repairs,20260,24030,Bank Transfer,618,2022-01-25,2022-02-19,0,2GB,525,Online,High,2080,422,23009,500GB
Africa,Kenya,Kisumu,GHI Machines,5,HP,Stream,SSD,Misty Green,Returns,17077,20696,Finance,228,2021-05-22,,3907,2GB,624,Offline,High,0,625,18243,256GB
Africa,Angola,Cunene,Mini Tech,9,Asus,VivoBook Flip 14,SSD,Kenneth Willis,Returns,6692,10793,Cash,395,2022-05-27,2022-06-12,0,8GB,475,Online,Medium,0,389,10107,1TB
North America,New York,Binghamton,Greens Laptops and PCs,5,MSI,GF63 Thin,SSD,Kelsey Olson,New Sales,7954,12450,Finance,31,2021-09-14,,30932,4GB,731,Offline,Medium,0,253,9733,256GB
North America,Georgia,Newnan,Mini Tech,3,Toshiba,Tecra,HDD,Michael Collins,Returns,28443,31083,Finance,310,2022-03-11,2022-03-16,6250,2GB,549,Online,Low,0,72,29559,1TB
North America,Illinois,Evanston,ABC Computers,2,Acer,Aspire 7,SSD,Jason Phillips,Second-hand Sales,10807,15743,Cash,731,2022-01-11,,0,4GB,805,Offline,Low,0,912,15336,500GB
Africa,Ghana,Ashanti,DEF Machines,3,Lenovo,ThinkPad X1 Carbon,SSD,Troy Howell,Returns,23956,27412,Bank Transfer,497,2022-06-06,2022-06-07,0,2GB,527,Online,Low,0,821,26910,256GB
North America,North Carolina,Mooresville,Mini Tech,2,Lenovo,ThinkPad X13 Yoga,SSD,Tamara Clark,Returns,2911,7353,Finance,730,2023-01-09,,39965,16GB,468,Offline,Medium,0,972,4706,500GB
Africa,Egypt,Kafr El Sheikh,ABC Computers,5,Acer,Swift 3,HDD,Diana Owens,Second-hand Sales,17063,21069,Cash,272,2022-12-01,2022-12-02,0,4GB,671,Online,Medium,0,370,20839,500GB
North America,New York,Schenectady,Benjis Tech,5,Asus,TUF Gaming A15,HDD,Victoria Hodges,Second-hand Sales,12278,15229,Finance,796,2023-07-28,2023-08-17,28510,16GB,762,Online,Medium,0,188,15090,256GB
North America,Texas,Odessa,Mini Tech,5,Toshiba,Tecra,SSD,Lori Washington,Repairs,29878,34560,Bank Transfer,598,2021-06-10,,0,8GB,533,Offline,Medium,4049,543,29928,1TB
North America,Florida,Lakeland,Western International PCs,5,Microsoft,Surface Laptop,HDD,William Macdonald,Returns,13747,15902,Bank Transfer,458,2024-01-04,,0,2GB,451,Offline,Medium,0,831,14179,256GB
Africa,South Africa,Western Cape,Benjis Tech,5,Toshiba,Qosmio,SSD,Mrs. Barbara Davenport,New Sales,27751,32501,Finance,443,2023-07-17,,45856,4GB,593,Offline,Low,0,601,28867,256GB
North America,California,Santa Clarita,ABC Computers,5,MSI,GS75 Stealth,SSD,Ryan Bradley,Returns,10764,14477,Cash,42,2022-02-24,2022-03-12,0,2GB,409,Online,High,0,360,12979,500GB
North America,Michigan,Battle Creek,Western International PCs,8,Toshiba,Portege,SSD,Kevin Padilla,Repairs,28508,31212,Finance,215,2022-02-16,2022-03-10,34234,8GB,655,Online,Medium,1304,970,28997,1TB
North America,Texas,San Antonio,Western International PCs,10,Microsoft,Surface Studio,SSD,Amanda Brown,Repairs,3272,6101,Cash,597,2023-08-31,2023-09-09,0,16GB,518,Online,High,1699,918,3451,256GB
North America,Florida,West Palm Beach,A & A PCs,3,Dell,G Series,SSD,Alexis Murray,Second-hand Sales,12490,15507,Finance,548,2023-07-24,,31071,4GB,702,Offline,High,0,92,14570,256GB
Africa,Morocco,Chichaoua,Western International PCs,9,Samsung,Notebook 9 Pen,HDD,Jessica Thomas,Repairs,17349,22205,Finance,450,2021-07-23,,44808,8GB,765,Offline,Medium,1436,357,21701,500GB
North America,Pennsylvania,State College,ABC Computers,2,Lenovo,ThinkCentre M920 Tiny,SSD,Beth James,New Sales,16274,18584,Cash,493,2021-06-12,2021-07-03,0,8GB,592,Online,Medium,0,483,17159,256GB
Africa,Ethiopia,Tigray,CK Tech Store,1,Lenovo,IdeaCentre AIO 3,SSD,Alexa Hopkins,New Sales,19729,23898,Cash,389,2021-04-21,,0,2GB,541,Offline,High,0,89,21263,500GB
Africa,Ghana,Brong-Ahafo,Western International PCs,4,Lenovo,ThinkPad X1 Yoga,HDD,Amanda Hurley,Second-hand Sales,13981,17192,Cash,883,2021-04-09,2021-04-11,0,2GB,504,Online,Medium,0,647,14431,1TB
Africa,South Africa,Mpumalanga,Mini Tech,3,Apple,Apple Macintosh SE,SSD,Mrs. Barbara Davenport,Returns,27306,30728,Cash,21,2024-01-18,,0,16GB,632,Offline,Low,0,53,29244,256GB
Africa,Ghana,Upper West,CK Tech Store,8,HP,Pavilion,HDD,Jonathan Miller,Second-hand Sales,9292,12818,Bank Transfer,456,2021-04-05,,0,4GB,510,Offline,High,0,650,11123,500GB
Africa,Tanzania,Mwanza,A & A PCs,3,Lenovo,ThinkCentre M920 Tiny,SSD,Antonio Cobb,Second-hand Sales,2962,6165,Bank Transfer,71,2021-06-09,2021-06-15,0,4GB,844,Online,Medium,0,518,4809,500GB
North America,Illinois,Decatur,Western International PCs,3,Apple,Apple PowerBook G4,SSD,Curtis Tucker,Repairs,8052,11999,Cash,285,2022-07-05,2022-08-02,0,4GB,604,Online,High,4906,239,9958,500GB
North America,Michigan,Flint,Greens Laptops and PCs,7,Lenovo,ThinkPad T14,HDD,Casey Dunn,Repairs,24283,27443,Bank Transfer,836,2021-11-13,2021-12-10,0,2GB,620,Online,Medium,4100,951,25660,500GB
Africa,Ghana,Western,XYZ Tech,3,Samsung,Notebook 5,SSD,Kevin Lee,Second-hand Sales,4730,8672,Cash,196,2021-08-19,,0,8GB,785,Offline,High,0,518,5294,1TB
Africa,South Africa,Free State,CK Tech Store,6,Apple,Apple Lisa,SSD,Carol Smith,New Sales,25000,27977,Bank Transfer,96,2021-06-18,,0,4GB,570,Offline,Medium,0,515,27869,1TB
Africa,Kenya,Trans Nzoia,XYZ Tech,6,Microsoft,Surface Studio,HDD,Jeffrey Cook,Returns,9303,11967,Cash,431,2024-01-24,2024-02-05,0,16GB,612,Online,Low,0,213,9652,1TB
